Class1;Class1.1;Class1.2;Class1.3;Class1
topGenes;topGenes;Weights;Weights;Weights
PROGRAMADA_8;PROGRAMADA_8;0.0;0.0;0.0
PROGRAMADA_9;PROGRAMADA_9;0.0;0.0;0.0
PROGRAMADA_10;PROGRAMADA_10;0.0;0.0;0.0
PROGRAMADA_11;PROGRAMADA_11;0.0;0.0;0.0
PROGRAMADA_12;PROGRAMADA_12;0.0;0.0;0.0
PROGRAMADA_13;PROGRAMADA_13;0.0;0.0;0.0
PROGRAMADA_14;PROGRAMADA_14;0.0;0.0;0.0
PROGRAMADA_15;PROGRAMADA_15;0.0;0.0;0.0
PROGRAMADA_16;PROGRAMADA_16;0.0;0.0;0.0
PROGRAMADA_17;PROGRAMADA_17;0.0;0.0;0.0
PROGRAMADA_18;PROGRAMADA_18;0.0;0.0;0.0
PROGRAMADA_19;PROGRAMADA_19;0.0;0.0;0.0
PROGRAMADA_20;PROGRAMADA_20;0.0;0.0;0.0
PROGRAMADA_21;PROGRAMADA_21;0.0;0.0;0.0
PROGRAMADA_22;PROGRAMADA_22;0.0;0.0;0.0
PROGRAMADA_23;PROGRAMADA_23;0.0;0.0;0.0
PROGRAMADA_24;PROGRAMADA_24;0.0;0.0;0.0
PROGRAMADA_25;PROGRAMADA_25;0.0;0.0;0.0
PROGRAMADA_26;PROGRAMADA_26;0.0;0.0;0.0
PROGRAMADA_27;PROGRAMADA_27;0.0;0.0;0.0
PROGRAMADA_28;PROGRAMADA_28;0.0;0.0;0.0
PROGRAMADA_29;PROGRAMADA_29;0.0;0.0;0.0
PROGRAMADA_30;PROGRAMADA_30;0.0;0.0;0.0
PROGRAMADA_31;PROGRAMADA_31;0.0;0.0;0.0
PROGRAMADA_32;PROGRAMADA_32;0.0;0.0;0.0
PROGRAMADA_33;PROGRAMADA_33;0.0;0.0;0.0
PROGRAMADA_34;PROGRAMADA_34;0.0;0.0;0.0
PROGRAMADA_35;PROGRAMADA_35;0.0;0.0;0.0
PROGRAMADA_36;PROGRAMADA_36;0.0;0.0;0.0
PROGRAMADA_37;PROGRAMADA_37;0.0;0.0;0.0
PROGRAMADA_38;PROGRAMADA_38;0.0;0.0;0.0
PROGRAMADA_39;PROGRAMADA_39;0.0;0.0;0.0
PROGRAMADA_40;PROGRAMADA_40;0.0;0.0;0.0
PROGRAMADA_41;PROGRAMADA_41;0.0;0.0;0.0
PROGRAMADA_42;PROGRAMADA_42;0.0;0.0;0.0
PROGRAMADA_43;PROGRAMADA_43;0.0;0.0;0.0
PROGRAMADA_44;PROGRAMADA_44;0.0;0.0;0.0
PROGRAMADA_45;PROGRAMADA_45;0.0;0.0;0.0
PROGRAMADA_46;PROGRAMADA_46;0.0;0.0;0.0
PROGRAMADA_47;PROGRAMADA_47;0.0;0.0;0.0
PROGRAMADA_48;PROGRAMADA_48;0.0;0.0;0.0
PROGRAMADA_49;PROGRAMADA_49;0.0;0.0;0.0
PROGRAMADA_50;PROGRAMADA_50;0.0;0.0;0.0
PROGRAMADA_51;PROGRAMADA_51;0.0;0.0;0.0
PROGRAMADA_52;PROGRAMADA_52;0.0;0.0;0.0
PROGRAMADA_53;PROGRAMADA_53;0.0;0.0;0.0
PROGRAMADA_54;PROGRAMADA_54;0.0;0.0;0.0
PROGRAMADA_55;PROGRAMADA_55;0.0;0.0;0.0
PROGRAMADA_56;PROGRAMADA_56;0.0;0.0;0.0
PROGRAMADA_57;PROGRAMADA_57;0.0;0.0;0.0
PROGRAMADA_58;PROGRAMADA_58;0.0;0.0;0.0
PROGRAMADA_59;PROGRAMADA_59;0.0;0.0;0.0
PROGRAMADA_60;PROGRAMADA_60;0.0;0.0;0.0
PROGRAMADA_61;PROGRAMADA_61;0.0;0.0;0.0
PROGRAMADA_62;PROGRAMADA_62;0.0;0.0;0.0
PROGRAMADA_63;PROGRAMADA_63;0.0;0.0;0.0
PROGRAMADA_64;PROGRAMADA_64;0.0;0.0;0.0
PROGRAMADA_65;PROGRAMADA_65;0.0;0.0;0.0
PROGRAMADA_66;PROGRAMADA_66;0.0;0.0;0.0
PROGRAMADA_67;PROGRAMADA_67;0.0;0.0;0.0
PROGRAMADA_68;PROGRAMADA_68;0.0;0.0;0.0
PROGRAMADA_69;PROGRAMADA_69;0.0;0.0;0.0
PROGRAMADA_70;PROGRAMADA_70;0.0;0.0;0.0
PROGRAMADA_71;PROGRAMADA_71;0.0;0.0;0.0
PROGRAMADA_72;PROGRAMADA_72;0.0;0.0;0.0
PROGRAMADA_73;PROGRAMADA_73;0.0;0.0;0.0
PROGRAMADA_74;PROGRAMADA_74;0.0;0.0;0.0
PROGRAMADA_75;PROGRAMADA_75;0.0;0.0;0.0
PROGRAMADA_76;PROGRAMADA_76;0.0;0.0;0.0
PROGRAMADA_77;PROGRAMADA_77;0.0;0.0;0.0
PROGRAMADA_78;PROGRAMADA_78;0.0;0.0;0.0
PROGRAMADA_79;PROGRAMADA_79;0.0;0.0;0.0
PROGRAMADA_80;PROGRAMADA_80;0.0;0.0;0.0
PROGRAMADA_81;PROGRAMADA_81;0.0;0.0;0.0
PROGRAMADA_82;PROGRAMADA_82;0.0;0.0;0.0
PROGRAMADA_83;PROGRAMADA_83;0.0;0.0;0.0
PROGRAMADA_84;PROGRAMADA_84;0.0;0.0;0.0
PROGRAMADA_85;PROGRAMADA_85;0.0;0.0;0.0
PROGRAMADA_86;PROGRAMADA_86;0.0;0.0;0.0
PROGRAMADA_87;PROGRAMADA_87;0.0;0.0;0.0
PROGRAMADA_88;PROGRAMADA_88;0.0;0.0;0.0
PROGRAMADA_89;PROGRAMADA_89;0.0;0.0;0.0
PROGRAMADA_90;PROGRAMADA_90;0.0;0.0;0.0
PROGRAMADA_91;PROGRAMADA_91;0.0;0.0;0.0
